[2021-03-28 17:42:05.183] [basic_logger] [info] loaderGetDeviceRegistryFiles: GUID for 2 is not SoftwareComponent skipping
[2021-03-28 17:42:05.190] [basic_logger] [info] Searching for ICD drivers named .\nvoglv64.dll
[2021-03-28 17:42:05.229] [basic_logger] [info] Build ICD instance extension list
[2021-03-28 17:42:05.230] [basic_logger] [info] Instance Extension: VK_KHR_device_group_creation (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.230] [basic_logger] [info] Instance Extension: VK_KHR_external_fence_capabilities (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.230] [basic_logger] [info] Instance Extension: VK_KHR_external_memory_capabilities (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.230] [basic_logger] [info] Instance Extension: VK_KHR_external_semaphore_capabilities (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.230] [basic_logger] [info] Instance Extension: VK_KHR_get_physical_device_properties2 (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.231] [basic_logger] [info] Instance Extension: VK_KHR_get_surface_capabilities2 (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.231] [basic_logger] [info] Instance Extension: VK_KHR_surface (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.25
[2021-03-28 17:42:05.231] [basic_logger] [info] Instance Extension: VK_KHR_surface_protected_capabilities (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.231] [basic_logger] [info] Instance Extension: VK_KHR_win32_surface (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.6
[2021-03-28 17:42:05.231] [basic_logger] [info] Instance Extension: VK_EXT_debug_report (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.9
[2021-03-28 17:42:05.231] [basic_logger] [info] Instance Extension: VK_EXT_debug_utils (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.231] [basic_logger] [info] Instance Extension: VK_EXT_swapchain_colorspace (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.4
[2021-03-28 17:42:05.232] [basic_logger] [info] Instance Extension: VK_NV_external_memory_capabilities (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.262] [basic_logger] [info] Loading layer library C:\VulkanSDK\1.2.170.0\Bin\.\VkLayer_khronos_validation.dll
[2021-03-28 17:42:05.262] [basic_logger] [info] Loading layer library C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll
[2021-03-28 17:42:05.264] [basic_logger] [info] Build ICD instance extension list
[2021-03-28 17:42:05.264] [basic_logger] [info] Instance Extension: VK_KHR_device_group_creation (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.265] [basic_logger] [info] Instance Extension: VK_KHR_external_fence_capabilities (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.265] [basic_logger] [info] Instance Extension: VK_KHR_external_memory_capabilities (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.266] [basic_logger] [info] Instance Extension: VK_KHR_external_semaphore_capabilities (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.266] [basic_logger] [info] Instance Extension: VK_KHR_get_physical_device_properties2 (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.267] [basic_logger] [info] Instance Extension: VK_KHR_get_surface_capabilities2 (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.267] [basic_logger] [info] Instance Extension: VK_KHR_surface (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.25
[2021-03-28 17:42:05.268] [basic_logger] [info] Instance Extension: VK_KHR_surface_protected_capabilities (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.268] [basic_logger] [info] Instance Extension: VK_KHR_win32_surface (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.6
[2021-03-28 17:42:05.269] [basic_logger] [info] Instance Extension: VK_EXT_debug_report (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.9
[2021-03-28 17:42:05.269] [basic_logger] [info] Instance Extension: VK_EXT_debug_utils (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.270] [basic_logger] [info] Instance Extension: VK_EXT_swapchain_colorspace (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.4
[2021-03-28 17:42:05.273] [basic_logger] [info] Instance Extension: VK_NV_external_memory_capabilities (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.289] [basic_logger] [info] Device Extension: VK_KHR_16bit_storage (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.289] [basic_logger] [info] Device Extension: VK_KHR_8bit_storage (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.290] [basic_logger] [info] Device Extension: VK_KHR_bind_memory2 (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
